Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
TBD,Kansas 4,Democratic,no,House of representatives,NA,
Ron Estes,Kansas 4,Republican,yes,House of representatives,RonEstesKS ; RepRonEstes,
Jimmy Ausbrooks,Kentucky 1,Democratic,no,House of representatives,jimmy4congress,
James Comer,Kentucky 1,Republican,yes,House of representatives,JamesComer ; RepJamesComer,
William Compton,Kentucky 2,Democratic,no,House of representatives,Compton4KY2022,
Hank Linderman,Kentucky 2,Democratic,no,House of representatives,hank4ky,
Brett Guthrie,Kentucky 2,Republican,yes,House of representatives,brettguthrie ; RepGuthrie,
Brent Feher,Kentucky 2,Republican,no,House of representatives,BrentFeher,
E.Lee Watts,Kentucky 2,Republican,no,House of representatives,NA,
Morgan McGarvey,Kentucky 3,Democratic,no,House of representatives,MorganMcGarvey,
Attica Scott,Kentucky 3,Democratic,no,House of representatives,atticaforky,
Daniel Cobble,Kentucky 3,Republican,no,House of representatives,CobbleRunning,
Mike Craven,Kentucky 3,Republican,no,House of representatives,NA,
Justin Gregory,Kentucky 3,Republican,no,House of representatives,NA,
Rhonda Palazzo,Kentucky 3,Republican,no,House of representatives,NA,
Gregory Puccetti,Kentucky 3,Republican,no,House of representatives,puccettig,
Stuart Ray,Kentucky 3,Republican,no,House of representatives,RayForCongress,
Darien Moreno,Kentucky 3,Republican,no,House of representatives,NA,
Robert DeVore Jr.,Kentucky 3,Republican,no,House of representatives,NA,
Matthew Lehman,Kentucky 4,Democratic,no,House of representatives,lehman4kentucky,
Thomas Massie,Kentucky 4,Republican,yes,House of representatives,RepThomasMassie ; MassieforKY,
Alyssa Dara McDowell,Kentucky 4,Republican,no,House of representatives,dara_mcdowell,
Claire Wirth,Kentucky 4,Republican,no,House of representatives,BuilderClaireKY,
Conor Halbleib,Kentucky 5,Democratic,no,House of representatives,conor_halbleib,
Hal Rogers,Kentucky 5,Republican,yes,House of representatives,RepHalRogers ; HalRogersKY5,
Richard Van Dam,Kentucky 5,Republican,no,House of representatives,VanDamForKY,
Jeannette Andrews,Kentucky 5,Republican,no,House of representatives,NA,
Gerardo Serrano,Kentucky 5,Republican,no,House of representatives,AssetForfeiture,
Brandon Monhollen,Kentucky 5,Republican,no,House of representatives,Brandon4_KY_5th,
Christopher Preece,Kentucky 6,Democratic,no,House of representatives,ChrisPreece4KY,
Geoff Young,Kentucky 6,Democratic,no,House of representatives,GeoffYoung4KY,
Andy Barr,Kentucky 6,Republican,yes,House of representatives,barrforcongress ; RepAndyBarr,
Derek Petteys,Kentucky 6,Republican,no,House of representatives,Liberty4KY,
TBD,Louisiana 1,Democratic,no,House of representatives,NA,
Steve Scalise,Louisiana 1,Republican,yes,House of representatives,SteveScalise ; SteveScaliseGOP,
Troy Carter,Louisiana 2,Democratic,yes,House of representatives,tcartersenate ; RepTroyCarter,
Karen Carter Peterson,Louisiana 2,Democratic,no,House of representatives,TeamKCP,
TBD,Louisiana 2,Republican,no,House of representatives,NA,
TBD,Louisiana 3,Democratic,no,House of representatives,NA,
Clay Higgins,Louisiana 3,Republican,yes,House of representatives,CaptClayHiggins ; RepClayHiggins,
Jake Shaheen,Louisiana 3,Republican,no,House of representatives,LaCandidateJake,
TBD,Louisiana 4,Democratic,no,House of representatives,NA,
Mike Johnson,Louisiana 4,Republican,yes,House of representatives,RepMikeJohnson,
Brandon Sandage,Louisiana 4,Republican,no,House of representatives,NA,
TBD,Louisiana 5,Democratic,no,House of representatives,NA,
Julia Letlow,Louisiana 5,Republican,yes,House of representatives,jbletlow ; RepJuliaLetlow,
Jaqueline Blaney ,Louisiana 6,Democratic,no,House of representatives,NA,
Garret Graves,Louisiana 6,Republican,yes,House of representatives,garretgraves ; RepGarretGraves,
Scott Sonnier,Louisiana 6,Republican,no,House of representatives,NA,
Chellie Pingree,Maine 1,Democratic,yes,House of representatives,chelliepingree ; PingreeForME,
Ed Thelander,Maine 1,Republican,no,House of representatives,EdForMaine,
Jared Golden,Maine 2,Democratic,yes,House of representatives,golden4congress ; RepGolden,
Liz Caruso,Maine 2,Republican,no,House of representatives,LizForMaine,
Bruce Poliquin,Maine 2,Republican,no,House of representatives,BrucePoliquin ,
R. David Harden,Maryland 1,Democratic,no,House of representatives,Dave_Harden,
Heather Mizeur,Maryland 1,Democratic,no,House of representatives,heathermizeur,
Andy Harris,Maryland 1,Republican,yes,House of representatives,Harris4Congress ; RepAndyHarrisMD,
George Croom,Maryland 2,Democratic,no,House of representatives,GeorgeCroom,
Liri Fusha,Maryland 2,Democratic,no,House of representatives,lirifusha,
Dutch Ruppersberger,Maryland 2,Democratic,yes,House of representatives,Call_Me_Dutch ; GoDutchForMD,
Nicolee Ambrose,Maryland 2,Republican,no,House of representatives,NicoleeAmbrose,
Berney Flowers,Maryland 2,Republican,no,House of representatives,BerneyFlowers,
Michael A. Geppi,Maryland 2,Republican,no,House of representatives,NA,
Lance Griffin,Maryland 2,Republican,no,House of representatives,NA,
Ellen McNulty,Maryland 2,Republican,no,House of representatives,NA,
David D. Wallace,Maryland 2,Republican,no,House of representatives,DaveWallaceUS,
Ben R. Beardsley,Maryland 3,Democratic,no,House of representatives,beardsley2022,
Jake Pretot,Maryland 3,Democratic,no,House of representatives,jake_pretot,
John Sarbanes,Maryland 3,Democratic,yes,House of representatives,JohnSarbanes ; RepSarbanes,
Joe Kelley,Maryland 3,Republican,no,House of representatives,NA,
Yuripzy Morgan,Maryland 3,Republican,no,House of representatives,YMforcongress,
Antonio Pitocco,Maryland 3,Republican,no,House of representatives,antoniopitocco1,
Tammy Allison,Maryland 4,Democratic,no,House of representatives,NA,
Angela Angel,Maryland 4,Democratic,no,House of representatives,Angela4Congress,
"James Curtis, Jr.",Maryland 4,Democratic,no,House of representatives,Curtis4change,
Donna Edwards,Maryland 4,Democratic,no,House of representatives,DonnaFEdwards,
Matthew Fogg,Maryland 4,Democratic,no,House of representatives,MarshalFogg,
Gregory Holmes,Maryland 4,Democratic,no,House of representatives,GregHolmes4Cong,
Glenn Ivey,Maryland 4,Democratic,no,House of representatives,glenniveymd,
Robert K. McGhee,Maryland 4,Democratic,no,House of representatives,NA,
Kim A. Shelton,Maryland 4,Democratic,no,House of representatives,NA,
Eric Loeb,Maryland 4,Republican,no,House of representatives,NA,
George McDermott,Maryland 4,Republican,no,House of representatives,GeorgeMcDermot3,
Jeff Warner,Maryland 4,Republican,no,House of representatives,RepJeffWarner,
Steny Hoyer,Maryland 5,Democratic,yes,House of representatives,StenyHoyer ; LeaderHoyer,
Wayne McNeal,Maryland 5,Democratic,no,House of representatives,BigBillions3,
Keith Washington,Maryland 5,Democratic,no,House of representatives,NA,
Mckayla Wilkes,Maryland 5,Democratic,no,House of representatives,MeetMckayla,
Bryan DuVal Cubero,Maryland 5,Republican,no,House of representatives,NA,
Vanessa Marie Hoffman,Maryland 5,Republican,no,House of representatives,NA,
Toni Jarboe-Duley,Maryland 5,Republican,no,House of representatives,NA,
Michael S. Lemon,Maryland 5,Republican,no,House of representatives,NA,
Chris Palombi,Maryland 5,Republican,no,House of representatives,ChrisPalombi,
Patrick Lucky Stevens,Maryland 5,Republican,no,House of representatives,NA,
Tannis Villanova,Maryland 5,Republican,no,House of representatives,TannisVillanova,
Ben Smilowitz,Maryland 6,Democratic,no,House of representatives,ben_smilowitz,
David Trone,Maryland 6,Democratic,yes,House of representatives,davidjtrone ; RepDavidTrone,
Heba Machado Zayas,Maryland 6,Democratic,no,House of representatives,NA,
Colt M. Black,Maryland 6,Republican,no,House of representatives,NA,
Matthew Foldi,Maryland 6,Republican,no,House of representatives,MatthewFoldi,
Jonathan Jenkins,Maryland 6,Republican,no,House of representatives,JenkinsCongress,
Neil Parrott,Maryland 6,Republican,no,House of representatives,neilparrott,
Robert Poissonnier,Maryland 6,Republican,no,House of representatives,bobpoissonier,
Mariela Roca,Maryland 6,Republican,no,House of representatives,rocaforcongress,
Tashi Kimandus Davis,Maryland 7,Democratic,no,House of representatives,tashi_davis,
Marques Dent,Maryland 7,Democratic,no,House of representatives,Team_DENT,
Elihu Eli El,Maryland 7,Democratic,no,House of representatives,NA,
Kweisi Mfume,Maryland 7,Democratic,yes,House of representatives,RepKweisiMfume ; Mfume4Congress,
Ray Bly,Maryland 7,Republican,no,House of representatives,NA,
Scott M. Collier,Maryland 7,Republican,no,House of representatives,NA,
Michael Pearson,Maryland 7,Republican,no,House of representatives,NA,
Lorrie Sigley,Maryland 7,Republican,no,House of representatives,NA,
Amal Torres,Maryland 7,Republican,no,House of representatives,Amal4Congress,
Andalib Odulate,Maryland 8,Democratic,no,House of representatives,Andalib Odulate,
Jamie Raskin,Maryland 8,Democratic,yes,House of representatives,jamie_raskin ; RepRaskin,
Gregory Thomas Coll,Maryland 8,Republican,no,House of representatives,CollforCongress,
Michael Mihirate Yadeta,Maryland 8,Republican,no,House of representatives,MichaelYadeta,
Richard Neal,Massachusetts 1,Democratic,yes,House of representatives,RepRichardNeal ; NealForCongress,
Lou Marino,Massachusetts 1,Republican,no,House of representatives,NA,
Jim McGovern,Massachusetts 2,Democratic,yes,House of representatives,RepMcGovern ; McGovernMA,
Jeffrey Sossa-Paquette,Massachusetts 2,Republican,no,House of representatives,Jeff4CongressMA,
Lori Trahan,Massachusetts 3,Democratic,yes,House of representatives,LoriTrahanMA ; RepLoriTrahan,
Miranda Tozier-Robbins,Massachusetts 3,Democratic,no,House of representatives,ShortyTheEditor,
Dean Tran,Massachusetts 3,Republican,no,House of representatives,DeanTranMA3,
Jake Auchincloss,Massachusetts 4,Democratic,yes,House of representatives,JakeAuch ; RepAuchincloss,
Emily Burns,Massachusetts 4,Republican,no,House of representatives,NA,
Julie Hall,Massachusetts 4,Republican,no,House of representatives,Coljulie88,
Katherine Clark,Massachusetts 5,Democratic,yes,House of representatives,RepKClark ; TeamKClark,
Norman Schwartz,Massachusetts 5,Republican,no,House of representatives,NA,
Seth Moulton,Massachusetts 6,Democratic,yes,House of representatives,sethmoulton ; RepMoulton,
Robert May,Massachusetts 6,Republican,no,House of representatives,NA,
Ayanna Pressley,Massachusetts 7,Democratic,yes,House of representatives,AyannaPressley ; RepPressley,
TBD,Massachusetts 7,Republican,no,House of representatives,NA,
Stephen F. Lynch,Massachusetts 8,Democratic,yes,House of representatives,RepLynch ; RepStephenLynch,
Michael Ruiz,Massachusetts 8,Democratic,no,House of representatives,Mike4_Congress,
Hamilton Rodrigues,Massachusetts 8,Republican,no,House of representatives,Triple7RE,
Bill Keating,Massachusetts 9,Democratic,yes,House of representatives,WilliamKeating ; USRepKeating,
Jesse Brown,Massachusetts 9,Republican,no,House of representatives,JesseBrownMA,
Mark Littles,Massachusetts 9,Republican,no,House of representatives,NA,
Bob Lorinser,Michigan 1,Democratic,no,House of representatives,DrLorinser,
Jack Bergman,Michigan 1,Republican,yes,House of representatives,JackBergman_MI1 ; RepJackBergman,
Ray Johnson,Michigan 2,Democratic,no,House of representatives,NA,
John Moolenaar,Michigan 2,Republican,yes,House of representatives,JohnMoolenaar ; RepMoolenaar,
Tom Norton,Michigan 2,Republican,no,House of representatives,ForNorton,
Jericho Joel Gonzales,Michigan 2,Republican,no,House of representatives,J_J_Gonzales,
Hillary Scholten,Michigan 3,Democratic,no,House of representatives,HillaryScholten,
Jeffrey John Noel,Michigan 3,Democratic,no,House of representatives,jnoelMI88,
John Gibbs,Michigan 3,Republican,no,House of representatives,votejohngibbs,
Audra Johnson,Michigan 3,Republican,no,House of representatives,AudraJo23925537,
Gabriella Manolache,Michigan 3,Republican,no,House of representatives,GabiforCongress,
Peter Meijer,Michigan 3,Republican,yes,House of representatives,VoteMeijer ; RepMeijer,
Joseph Alfonso,Michigan 4,Democratic,no,House of representatives,AlfonsoforMI4,
Bill Huizenga,Michigan 4,Republican,yes,House of representatives,RepHuizenga,
Gina Johnsen,Michigan 4,Republican,no,House of representatives,Gina4StateRep,
Bart Goldberg,Michigan 5,Democratic,no,House of representatives,bartgoldbergmi5,
Sherry O'Donnell,Michigan 5,Republican,no,House of representatives,SherryCongress,
Ezra Scott,Michigan 5,Republican,no,House of representatives,EzraforCongress,
Tim Walberg,Michigan 5,Republican,yes,House of representatives,RepWalberg ; TimWalberg,
Debbie Dingell,Michigan 6,Democratic,yes,House of representatives,DebDingell ; RepDebDingell,
Hima Kolanagireddy,Michigan 6,Republican,no,House of representatives,HimaForCongress,
Whittney Williams,Michigan 6,Republican,no,House of representatives,Whittney2022,
Elissa Slotkin,Michigan 7,Democratic,yes,House of representatives,ElissaSlotkin ; RepSlotkin,
Tom Barrett,Michigan 7,Republican,no,House of representatives,barrettbrigade1,
Dan Kildee,Michigan 8,Democratic,yes,House of representatives,dankildee ; RepDanKildee,
Paul Junge,Michigan 8,Republican,no,House of representatives,VotePaulJunge,
Candice Miller,Michigan 8,Republican,no,House of representatives,NA,
Matthew Seely,Michigan 8,Republican,no,House of representatives,NA,
Brian Jaye,Michigan 9,Democratic,no,House of representatives,JayeForMI,
Michelle Donovan,Michigan 9,Republican,no,House of representatives,Michelle4MI,
Lisa McClain,Michigan 9,Republican,yes,House of representatives,RepLisaMcClain ; LisaForCongress,
Joel Patrick Needham,Michigan 9,Republican,no,House of representatives,Joel_Michigan_9,
Huwaida Arraf,Michigan 10,Democratic,no,House of representatives,huwaidaarraf,
Carl Marlinga,Michigan 10,Democratic,no,House of representatives,MarlingaForMI10,
Rhonda Powell,Michigan 10,Democratic,no,House of representatives,RhondaPowellMI,
Angela Rogensues,Michigan 10,Democratic,no,House of representatives,AngelaRogensues,
Henry Yanez,Michigan 10,Democratic,no,House of representatives,CitizenYanez,
John James,Michigan 10,Republican,no,House of representatives,JohnJamesMI,
Tony Marcinkewciz,Michigan 10,Republican,no,House of representatives,TMarcinkewciz,
Andy Levin,Michigan 11,Democratic,yes,House of representatives,Andy_Levin ; RepAndyLevin,
Haley Stevens,Michigan 11,Democratic,yes,House of representatives,HaleyLive ; RepHaleyStevens,
Josh Bitterman,Michigan 11,Republican,no,House of representatives,JoshBitterman22,
Matthew DenOtter,Michigan 11,Republican,no,House of representatives,DenOtterForMi,
Samukh Kallur,Michigan 11,Republican,no,House of representatives,NA,
Phil Cavanagh,Michigan 12,Democratic,no,House of representatives,NA,
Shanelle Jackson,Michigan 12,Democratic,no,House of representatives,ElectShanelle,
Rashida Tlaib,Michigan 12,Democratic,yes,House of representatives,RashidaTlaib ; RepRashida,
Janice Winfrey,Michigan 12,Democratic,no,House of representatives,winfreyformi,
Linda Sawyer,Michigan 12,Republican,no,House of representatives,NA,
John Conyers III,Michigan 13,Democratic,no,House of representatives,CONYERSTHREE,
Sherry Gay-Dagnogo,Michigan 13,Democratic,no,House of representatives,DetroitEducator,
Michael Griffie,Michigan 13,Democratic,no,House of representatives,MichaelRGriffie,
Adam Hollier,Michigan 13,Democratic,no,House of representatives,Adamant4Detroit,
Sharon McPhail,Michigan 13,Democratic,no,House of representatives,NA,
Portia Roberson,Michigan 13,Democratic,no,House of representatives,PLRoberson,
Shri Thanedar,Michigan 13,Democratic,no,House of representatives,ShriThanedar,
Adrian Tonon,Michigan 13,Democratic,no,House of representatives,tononcongress,
Articia Bomer,Michigan 13,Republican,no,House of representatives,bomer_articia,
Hassan H. Nehme,Michigan 13,Republican,no,House of representatives,HassanHNehme,
Richard DeVoe,Minnesota 1,Democratic,no,House of representatives,DevoeMalinchoc,
Richard Painter,Minnesota 1,Democratic,no,House of representatives,RWPUSA,
Sarah Brakebill-Hacke,Minnesota 1,Democratic,no,House of representatives,SarahBrakebillH ; BrakebillHacke,
George H. Kalberer,Minnesota 1,Democratic,no,House of representatives,NA,
Jeff Ettinger,Minnesota 1,Democratic,no,House of representatives,SouthernMN4Jeff,
James Rainwater,Minnesota 1,Democratic,no,House of representatives,NA,
Warren Lee Anderson,Minnesota 1,Democratic,no,House of representatives,NA,
Candace Deal-Bartell,Minnesota 1,Democratic,no,House of representatives,CandiceforMN_D1,
Matt Benda,Minnesota 1,Republican,no,House of representatives,benda4congress,
John Berman,Minnesota 1,Republican,no,House of representatives,NA,
Jennifer Carnahan,Minnesota 1,Republican,no,House of representatives,CarnahanforMN,
Bob Carney Jr.,Minnesota 1,Republican,no,House of representatives,NA,
Brad Finstad,Minnesota 1,Republican,no,House of representatives,BradFinstad,
Jeremy Munson,Minnesota 1,Republican,no,House of representatives,jeremymunson,
Ken Navitsky,Minnesota 1,Republican,no,House of representatives,KenNavitsky,
Nels Pierson,Minnesota 1,Republican,no,House of representatives,NelsforCongress,
Roger Ungemach,Minnesota 1,Republican,no,House of representatives,NA,
Kevin Kocina,Minnesota 1,Republican,no,House of representatives,KevinKocinaMN,
Angie Craig,Minnesota 2,Democratic,yes,House of representatives,AngieCraigMN ; RepAngieCraig,
Tyler Kistner,Minnesota 2,Republican,no,House of representatives,KistnerCongress,
Dean Phillips,Minnesota 3,Democratic,yes,House of representatives,RepDeanPhillips ; deanbphillips,
Adam Schwarze,Minnesota 3,Republican,no,House of representatives,NA,
Tom Weiler,Minnesota 3,Republican,no,House of representatives,TomWeilerMN,
Amane Badhasso,Minnesota 4,Democratic,no,House of representatives,Amane4Congress,
Evan Kail,Minnesota 4,Democratic,no,House of representatives,NA,
Fasil Moghul,Minnesota 4,Democratic,no,House of representatives,FasilMoghul,
Betty McCollum,Minnesota 4,Democratic,yes,House of representatives,BettyMcCollum04 ; VoteBetty,
Mikki Murray,Minnesota 4,Republican,no,House of representatives,MikkiMurray,
May Lor Xiong,Minnesota 4,Republican,no,House of representatives,XiongMay,
Ilhan Omar,Minnesota 5,Democratic,yes,House of representatives,IlhanMN ; Ilhan,
Don Samuels,Minnesota 5,Democratic,no,House of representatives,DonSamuelsMN,
Shukri Abdirahman,Minnesota 5,Republican,no,House of representatives,ShuForCongress,
Cicely Davis,Minnesota 5,Republican,no,House of representatives,CicelyDavisMN,
Royce White,Minnesota 5,Republican,no,House of representatives,Highway_30,
Jeanne Hendricks,Minnesota 6,Democratic,no,House of representatives,hendricks2022,
Tom Emmer,Minnesota 6,Republican,yes,House of representatives,RepTomEmmer ; tomemmer,
Reed Olson,Minnesota 7,Democratic,no,House of representatives,reedjolson,
Ernest Oppegaard-Peltie,Minnesota 7,Democratic,no,House of representatives,Ernest4MN,
Mark Lindquist,Minnesota 7,Democratic,no,House of representatives,MarkJLindquist,
Michelle Fischbach,Minnesota 7,Republican,yes,House of representatives,FischbachMN7 ; RepFischbach,
Ernest Oppegaard-Peltier,Minnesota 8,Democratic,no,House of representatives,Ernest4MN,
Jennifer Schultz,Minnesota 8,Democratic,no,House of representatives,RepJenSchultz,
Pete Stauber,Minnesota 8,Republican,yes,House of representatives,RepPeteStauber ; PeteStauber,
Hunter Kyle Avery,Mississippi 1,Democratic,no,House of representatives,HunterKyleAver1,
Trent Kelly,Mississippi 1,Republican,yes,House of representatives,RepTrentKelly ; KellyforMS01,
Gerald Kerner,Mississippi 2,Democratic,no,House of representatives,NA,
Bennie Thompson,Mississippi 2,Democratic,yes,House of representatives,BennieGThompson ; BGThompsonMS,
Ron Eller,Mississippi 2,Republican,no,House of representatives,VoteRon,
Brian Flowers,Mississippi 2,Republican,no,House of representatives,NA,
Jeffrey Keuneke,Mississippi 2,Republican,no,House of representatives,Jeff_Keuneke,
Rahim Talley,Mississippi 3,Democratic,no,House of representatives,RahimTalley,
Shuwaski Young,Mississippi 3,Democratic,no,House of representatives,shuwaskiyoung,
Michael Guest,Mississippi 3,Republican,yes,House of representatives,GuestCongress ; RepMichaelGuest,
Johnny DuPree,Mississippi 4,Democratic,no,House of representatives,johnnyldupree,
David Sellers,Mississippi 4,Democratic,no,House of representatives,DavidSellersMS,
Carl Boyanton,Mississippi 4,Republican,no,House of representatives,Carl4congressms,
Raymond Brooks,Mississippi 4,Republican,no,House of representatives,RaymondNBrooks1,
Mike Ezell,Mississippi 4,Republican,no,House of representatives,MikeEzell11,
Steven Palazzo,Mississippi 4,Republican,yes,House of representatives,CongPalazzo ,
Clay Wagner,Mississippi 4,Republican,no,House of representatives,CongressClay,
Brice Wiggins,Mississippi 4,Republican,no,House of representatives,bricewigginsMS,
Kidron Peterson,Mississippi 4,Republican,no,House of representatives,NA,
Cori Bush,Missouri 1,Democratic,yes,House of representatives,CoriBush ; RepCori,
Earl Childress,Missouri 1,Democratic,no,House of representatives,EarlChildress,
Michael Daniels,Missouri 1,Democratic,no,House of representatives,DanielsForUSRep,
Ron Harshaw,Missouri 1,Democratic,no,House of representatives,HarshawForMO1,
Steve Roberts,Missouri 1,Democratic,no,House of representatives,RobertsforSTL,
Andrew Jones,Missouri 1,Republican,no,House of representatives,ajones4congress,
Steven Jordan,Missouri 1,Republican,no,House of representatives,NA,
Laura Mitchell-Riley,Missouri 1,Republican,no,House of representatives,NA,
Trish Gunby,Missouri 2,Democratic,no,House of representatives,TrishForMO,
Ray Reed,Missouri 2,Democratic,no,House of representatives,RayReedMO,
Ben Samuels,Missouri 2,Democratic,no,House of representatives,SamuelsForMO,
Paul Berry III,Missouri 2,Republican,no,House of representatives,PBIII4USA,
Tony Salvatore,Missouri 2,Republican,no,House of representatives,NA,
Wesley Smith,Missouri 2,Republican,no,House of representatives,NA,
Ann Wagner,Missouri 2,Republican,yes,House of representatives,RepAnnWagner ; AnnLWagner,
Andrew Daly,Missouri 3,Democratic,no,House of representatives,AndrewDalyMO3,
Dylan Durrwachter,Missouri 3,Democratic,no,House of representatives,NA,
Jon Karlen,Missouri 3,Democratic,no,House of representatives,Karlen4MO,
Bethany Mann,Missouri 3,Democratic,no,House of representatives,Mann4Congress,
Josh Ciskowski,Missouri 3,Republican,no,House of representatives,NA,
Dustin Hill,Missouri 3,Republican,no,House of representatives,NA,
Blaine Luetkemeyer,Missouri 3,Republican,yes,House of representatives,RepBlaine,
Richard Skwira Jr.,Missouri 3,Republican,no,House of representatives,NA,
Brandon Wilkinson,Missouri 3,Republican,no,House of representatives,brawil86,
Jack Truman,Missouri 4,Democratic,no,House of representatives,NA,
Mark Alford,Missouri 4,Republican,no,House of representatives,markalfordkc,
Rick Brattin,Missouri 4,Republican,no,House of representatives,RickBrattin,
Kalena Bruce,Missouri 4,Republican,no,House of representatives,KalenaBruce,
Taylor Burks,Missouri 4,Republican,no,House of representatives,taylorwburks,
Jim Campbell,Missouri 4,Republican,no,House of representatives,NA,
Bill Irwin,Missouri 4,Republican,no,House of representatives,IrwinCongress,
Kyle LaBrue,Missouri 4,Republican,no,House of representatives,KyleLaBrue,
Sara Walsh,Missouri 4,Republican,no,House of representatives,SaraForMissouri,
Emanuel Cleaver,Missouri 5,Democratic,yes,House of representatives,repcleaver ; drec3,
Maite Salazar,Missouri 5,Democratic,no,House of representatives,NA,
Jerry Barham,Missouri 5,Republican,no,House of representatives,NA,
Jacob Turk,Missouri 5,Republican,no,House of representatives,JacobTurk,
Herschel L. Young,Missouri 5,Republican,no,House of representatives,NA,
Michael Howard,Missouri 5,Democratic,no,House of representatives,mikehowardmn,
Henry Martin,Missouri 5,Democratic,no,House of representatives,hmforcongress,
Charles West,Missouri 5,Democratic,no,House of representatives,CharlesWestfor1,
John Dady,Missouri 6,Republican,no,House of representatives,Dady6th,
Sam Graves,Missouri 6,Republican,yes,House of representatives,RepSamGraves,
Brandon Kleinmeyer,Missouri 6,Republican,no,House of representatives,bsk2006,
Christopher Ryan,Missouri 6,Republican,no,House of representatives,NA,
Dakota Shultz,Missouri 6,Republican,no,House of representatives,repshultz,
Bryce F. Lockwood,Missouri 7,Democratic,no,House of representatives,NA,
Kristen Radaker-Sheafer,Missouri 7,Democratic,no,House of representatives,KristenRSheafer,
John M. Woodman,Missouri 7,Democratic,no,House of representatives,JohnMWoodman,
Sam Alexander,Missouri 7,Republican,no,House of representatives,NA,
Alex Bryant,Missouri 7,Republican,no,House of representatives,BryantCongress,
Eric Burlison,Missouri 7,Republican,no,House of representatives,EricBurlison,
Camille Lombardi-Olive,Missouri 7,Republican,no,House of representatives,NA,
Mike Moon,Missouri 7,Republican,no,House of representatives,realmikemoon,
Audrey Richards,Missouri 7,Republican,no,House of representatives,Audrey4Congress,
Jay Wasson,Missouri 7,Republican,no,House of representatives,jaywasson,
Paul Walker,Missouri 7,Republican,no,House of representatives,votepaulwalker,
Randi McCallian,Missouri 8,Democratic,no,House of representatives,RandiMcCallian,
Jason Smith,Missouri 8,Republican,yes,House of representatives,JasonSmithMO ; RepJasonSmith,
Jacob Turner,Missouri 8,Republican,no,House of representatives,NA,
Cora Neumann,Montana 1,Democratic,no,House of representatives,CoraforMT,
Monica Tranel,Montana 1,Democratic,no,House of representatives,MonicaTranel,
Tom Winter,Montana 1,Democratic,no,House of representatives,WinterForMT,
Mitch Heuer,Montana 1,Republican,no,House of representatives,NA,
Matthew Jette,Montana 1,Republican,no,House of representatives,Jette2022,
Albert Olszewski,Montana 1,Republican,no,House of representatives,alformontana,
Mary Todd,Montana 1,Republican,no,House of representatives,MaryToddForMT,
Ryan Zinke,Montana 1,Republican,no,House of representatives,RyanZinke,
Penny Ronning,Montana 2,Democratic,no,House of representatives,penny4congress,
Skylar Williams,Montana 2,Democratic,no,House of representatives,Skylar4Montana,
Kyle Austin,Montana 2,Republican,no,House of representatives,NA,
James Boyette,Montana 2,Republican,no,House of representatives,Boyette4MT,
Matt Rosendale,Montana 2,Republican,yes,House of representatives,MattForMontana ; RepRosendale,
Charles Walking Child,Montana 2,Republican,no,House of representatives,cwalkingchild,
Patty Pansing Brooks,Nebraska 1,Democratic,no,House of representatives,Patty4Nebraska,yes
Jazari Kual,Nebraska 1,Democratic,no,House of representatives,JazariKual,no
Mike Flood,Nebraska 1,Republican,no,House of representatives,Flood4Nebraska,yes
Thireena Yuki Connely,Nebraska 1,Republican,no,House of representatives,thireena,no
Tony Vargas,Nebraska 2,Democratic,no,House of representatives,TonyVargas,yes
Alisha Shelton,Nebraska 2,Democratic,no,House of representatives,AlishaKShelton,no
Don Bacon,Nebraska 2,Republican,yes,House of representatives,RepDonBacon ; DonJBacon,yes
Steve Kuehl,Nebraska 2,Republican,no,House of representatives,RepSteveKuehl,no
David Else,Nebraska 3,Democratic,no,House of representatives,ElseForCongress,yes
Adrian Smith,Nebraska 3,Republican,yes,House of representatives,RepAdrianSmith,yes
Amy Vilela,Nevada 1,Democratic,no,House of representatives,amy4thepeople,
Dina Titus,Nevada 1,Democratic,yes,House of representatives,repdinatitus ; dinatitus,
Jane Adams,Nevada 1,Republican,no,House of representatives,iLoveJaneAdams,
Dave Brog,Nevada 1,Republican,no,House of representatives,BrogForNevada,
Mark Robertson,Nevada 1,Republican,no,House of representatives,RobertsonforNV,
Carolina Serrano,Nevada 1,Republican,no,House of representatives,Carolina4NV,
Cresent Hardy,Nevada 1,Republican,no,House of representatives,RepHardy,
Morgun Sholty,Nevada 1,Republican,no,House of representatives,MorgunSholtyNV,
Cynthia Steel,Nevada 1,Republican,no,House of representatives,NA,
Jessie Turner,Nevada 1,Republican,no,House of representatives,JessieT4NVDist1,
Joseph Afzal,Nevada 2,Democratic,no,House of representatives,JoeyAfzal,
Michael Doucette,Nevada 2,Democratic,no,House of representatives,NA,
Gerold Gorman,Nevada 2,Democratic,no,House of representatives,NA,
Brian Hansen,Nevada 2,Democratic,no,House of representatives,NA,
Tim Hanifan,Nevada 2,Democratic,no,House of representatives,TimHanifan,
Rahul Joshi,Nevada 2,Democratic,no,House of representatives,JoshiForNV2,
Mark Amodei,Nevada 2,Republican,yes,House of representatives,AmodeiForNevada ; MarkAmodeiNV2,
Joel Beck,Nevada 2,Republican,no,House of representatives,JBeck4Congress,
Brian Nadell,Nevada 2,Republican,no,House of representatives,nadell4nevada,
Catherine Sampson,Nevada 2,Republican,no,House of representatives,NA,
Danny Tarkanian,Nevada 2,Republican,no,House of representatives,DannyTarkanian,
